Division,HR_PAI,Catchment_PAI,week
Central,6.46815286624208,2.54598764378513,08/01-12/11
North Central,5.33496199782846,4.07582557434949,08/01-12/11
North East,8.10883349257361,4.05320204331448,08/01-12/11
North West,6.7609535000843,4.68310010302944,08/01-12/11
South Central,6.73366651933981,4.08711617571342,08/01-12/11
South East,6.57828007746314,3.74646386256594,08/01-12/11
South West,9.38249204384687,4.73612057860072,08/01-12/11
Central,6.42822599669738,2.48497268935891,08/01-12/04
North Central,5.26188032662533,4.2145081060441,08/01-12/04
North East,7.99345088161209,3.99246474995812,08/01-12/04
North West,6.70234791418916,4.7368455458624,08/01-12/04
South Central,6.84173876096197,3.88868201865038,08/01-12/04
South East,6.89090071747146,3.75894613150357,08/01-12/04
South West,9.26723901098865,4.65835055925773,08/01-12/04
Central,5.48812970469025,2.28730440725081,08/01-08/08
North Central,5.33496199782846,3.41843435268022,08/01-08/08
North East,8.17934508816121,3.10003145290866,08/01-08/08
North West,0,4.20059888029307,08/01-08/08
South Central,4.71591278880593,2.17330780772063,08/01-08/08
South East,9.67766203703712,4.3424922043378,08/01-08/08
South West,4.19770408163249,4.60171407829411,08/01-08/08
Central,0,1.67735656531726,08/09-08/16
North Central,10.6699239956569,5.12765152902032,08/09-08/16
North East,5.11209068010076,5.16671908818109,08/09-08/16
North West,9.26501035196737,5.60079850705743,08/09-08/16
South Central,7.33586433814256,4.50760137897612,08/09-08/16
South East,7.03829966329972,2.80726768765272,08/09-08/16
South West,9.64160156249962,4.22782480943271,08/09-08/16
Central,4.31210191082805,1.19811183236947,08/17-08/24
North Central,0,0,08/17-08/24
North East,5.57682619647355,4.22731561760271,08/17-08/24
North West,5.05364201016402,4.58247150577426,08/17-08/24
South Central,6.00207082211664,4.61004686486194,08/17-08/24
South East,12.9035493827162,5.26362691434884,08/17-08/24
South West,6.29655612244873,1.38051422348823,08/17-08/24
Central,7.54617834394909,3.49449284441096,08/25-09/01
North Central,10.6699239956569,3.41843435268022,08/25-09/01
North East,5.11209068010076,2.58335954409055,08/25-09/01
North West,2.77950310559021,2.52035932817584,08/25-09/01
South Central,7.33586433814256,5.63450172372015,08/25-09/01
South East,9.3843995510663,3.5090846095659,08/25-09/01
South West,14.6919642857137,6.44239970961175,08/25-09/01
Central,16.7692852087758,4.65932379254795,09/02-09/09
North Central,5.33496199782846,5.12765152902032,09/02-09/09
North East,0,5.16671908818109,09/02-09/09
North West,3.97071872227173,1.80025666298275,09/02-09/09
South Central,11.7897819720148,5.79548748725501,09/02-09/09
South East,9.92580721747397,3.56307052663614,09/02-09/09
South West,3.39045329670316,3.71676906323755,09/02-09/09
Central,0,0,09/10-09/17
North Central,0,3.41843435268022,09/10-09/17
North East,7.66813602015113,2.42189957258489,09/10-09/17
North West,8.17500913408885,4.44769293207502,09/10-09/17
South Central,0,2.8977437436275,09/10-09/17
South East,1.98516144349479,2.96922543886345,09/10-09/17
South West,6.78090659340633,2.97341525059004,09/10-09/17
Central,6.03694267515927,3.35471313063452,09/18-09/25
North Central,7.11328266377128,4.55791247024029,09/18-09/25
North East,13.1453760345448,4.42861636129808,09/18-09/25
North West,4.63250517598368,5.25074860036634,09/18-09/25
South Central,6.00207082211664,2.76602811891716,09/18-09/25
South East,6.45177469135808,1.92999653526124,09/18-09/25
South West,0,4.29493313974117,09/18-09/25
Central,0,1.39779713776438,09/26-10/03
North Central,0,3.41843435268022,09/26-10/03
North East,18.4035264483627,6.20006290581731,09/26-10/03
North West,3.47437888198776,3.1504491602198,09/26-10/03
South Central,4.12642369020519,3.16940721959258,09/26-10/03
South East,4.69219977553315,2.80726768765272,09/26-10/03
South West,12.5931122448975,4.14154267046469,09/26-10/03
Central,6.03694267515927,2.51603484797589,10/04-10/11
North Central,4.57282456956725,1.46504329400581,10/04-10/11
North East,13.632241813602,4.30559924015091,10/04-10/11
North West,18.5300207039347,9.8013973873505,10/04-10/11
South Central,14.6717286762851,5.63450172372015,10/04-10/11
South East,2.34609988776657,2.10545076573954,10/04-10/11
South West,5.87678571428548,3.22119985480587,10/04-10/11
Central,6.7077140835103,1.86372951701918,10/12-10/19
North Central,0,0,10/12-10/19
North East,15.3362720403023,5.81255897420373,10/12-10/19
North West,7.94143744454346,5.40076998894824,10/12-10/19
South Central,2.35795639440296,2.17330780772063,10/12-10/19
South East,6.45177469135808,4.5033252489429,10/12-10/19
South West,12.5931122448975,4.14154267046469,10/12-10/19
Central,10.0615711252655,2.79559427552877,10/20-10/27
North Central,0,10.2553030580406,10/20-10/27
North East,0,2.58335954409055,10/20-10/27
North West,4.63250517598368,6.30089832043961,10/20-10/27
South Central,3.66793216907128,4.50760137897612,10/20-10/27
South East,3.97032288698959,4.15691561440883,10/20-10/27
South West,4.89732142857124,3.22119985480587,10/20-10/27
Central,12.0738853503185,3.35471313063452,10/28-11/04
North Central,5.33496199782846,3.41843435268022,10/28-11/04
North East,4.38179201151493,3.87503931613582,10/28-11/04
North West,6.17667356797824,4.20059888029307,10/28-11/04
South Central,9.43182557761186,5.07105155134813,10/28-11/04
South East,3.44094650205764,3.60266019915432,10/28-11/04
South West,14.6919642857137,6.44239970961175,10/28-11/04
Central,15.0923566878982,6.29008711993973,11/05-11/12
North Central,10.6699239956569,10.2553030580406,11/05-11/12
North East,8.76358402302987,3.87503931613582,11/05-11/12
North West,3.47437888198776,3.1504491602198,11/05-11/12
South Central,12.0041416442333,4.61004686486194,11/05-11/12
South East,0,4.82499133815311,11/05-11/12
South West,11.0189732142853,8.45564961886542,11/05-11/12
Central,3.35385704175515,1.86372951701918,11/13-11/20
North Central,0,0,11/13-11/20
North East,18.4035264483627,6.20006290581731,11/13-11/20
North West,6.94875776397553,5.25074860036634,11/13-11/20
South Central,6.00207082211664,1.84401874594478,11/13-11/20
South East,7.37345679012352,4.4114206520257,11/13-11/20
South West,13.2227678571423,4.83179978220881,11/13-11/20
Central,6.03694267515927,1.67735656531726,11/21-11/28
North Central,0,10.2553030580406,11/21-11/28
North East,9.20176322418136,4.65004717936298,11/21-11/28
North West,7.94143744454346,3.60051332596549,11/21-11/28
South Central,9.7092322122475,4.77275440126883,11/21-11/28
South East,9.3843995510663,3.5090846095659,11/21-11/28
South West,17.6303571428565,7.08663968057292,11/21-11/28
Central,0,0,11/29-12/06
North Central,9.1456491391345,4.39512988201742,11/29-12/06
North East,6.13450881612091,4.65004717936298,11/29-12/06
North West,11.9121561668152,7.20102665193098,11/29-12/06
South Central,6.00207082211664,4.61004686486194,11/29-12/06
South East,7.37345679012352,5.51427581503212,11/29-12/06
South West,13.2227678571423,6.76451969509233,11/29-12/06
Central,15.0923566878982,8.38678282658631,12/07-12/14
North Central,10.6699239956569,3.41843435268022,12/07-12/14
North East,10.2241813602015,5.16671908818109,12/07-12/14
North West,4.63250517598368,2.10029944014654,12/07-12/14
South Central,4.71591278880593,7.24435935906876,12/07-12/14
South East,2.34609988776657,3.5090846095659,12/07-12/14
South West,17.6303571428565,5.79815973865057,12/07-12/14
Central,,,12/15-12/22
North Central,,,12/15-12/22
North East,,,12/15-12/22
North West,,,12/15-12/22
South Central,,,12/15-12/22
South East,,,12/15-12/22
South West,,,12/15-12/22
